status,rollout,t_rollout,t_update,t_test
1,0,0,0,0
status,rollout,t_rollout,t_update,t_test
1,0,0,0,0
status,rollout,t_rollout,t_update,t_test
1,0,0,0,0
status,rollout,t_rollout,t_update,t_test
1,0,0,0,0
status,rollout,t_rollout,t_update,t_test
1,0,0,0,0
status,rollout,t_rollout,t_update,t_test
1,0,0,0,0
status,rollout,t_rollout,t_update,t_test
1,0,0,0,0
status,rollout,t_rollout,t_update,t_test
1,0,0,0,0
